,assetClass,beta3Yr,cost,date,distYield,dnow,modelOad,numHoldings,optionAdjustedSpread,priceBook,priceEarnings,sharesOutstanding,standardDeviation3Yr,thirtyDaySecYield,ticker,totalNetAssets,twelveMonTrlYld,weightedAvgCoupon,weightedAvgLife,yieldToWorst,link
50,,,,2019-06-17 10:23:07.682317,,2019-06-18 10:23:07.682341,,,,,,,,,,,,,,,https://www.ishares.com/uk/professional/en/products/288500/ishares-floating-rate-bond-ucits-etf-usd-dist-fund
51,Equity,0.66,0.0053,2019-06-17 00:00:00.000000,0.0067,2019-06-18 10:23:11.027006,,45.0,,3.0,17.72,600000.0,0.1389,0.0139,EDEN,37145620.0,0.0187,,,,https://www.ishares.com/us/products/239621/ishares-msci-denmark-capped-etf
52,Fixed Income,0.0,0.0006,2019-06-17 00:00:00.000000,0.0298,2019-06-18 10:23:15.803441,2.68,2499.0,83.0,,,223900000.0,0.011899999999999999,0.028300000000000002,IGSB,11887876503.0,0.0292,0.0344,2.87,0.0273,https://www.ishares.com/us/products/239451/ishares-13-year-credit-bond-etf
53,Equity,0.75,0.0043,2019-06-17 00:00:00.000000,0.0223,2019-06-18 10:23:21.826777,,110.0,,3.76,18.98,3750000.0,0.1127,0.023700000000000002,IYK,455435527.0,0.0254,,,,https://www.ishares.com/us/products/239505/ishares-us-consumer-goods-etf
54,Equity,0.91,0.005,2019-06-17 00:00:00.000000,0.0339,2019-06-18 10:23:25.809279,,51.0,,1.49,11.2,17900000.0,0.1501,0.0227,AIA,1029336906.0,0.0242,,,,https://www.ishares.com/us/products/239730/ishares-asia-50-etf
55,Equity,,0.002,2019-06-17 00:00:00.000000,0.0134,2019-06-18 10:23:28.097801,,393.0,,2.11,22.67,5150000.0,,0.0181,SMMV,170750568.0,0.0159,,,,https://www.ishares.com/us/products/284609/
56,Fixed Income,-0.04,0.002,2019-06-17 00:00:00.000000,0.022099999999999998,2019-06-18 10:23:33.956358,3.88,3179.0,33.0,,,18100000.0,0.022400000000000003,0.022099999999999998,GVI,2020898233.0,0.0225,0.0274,4.23,0.0226,https://www.ishares.com/us/products/239464/ishares-intermediate-governmentcredit-bond-etf
57,Equity,0.74,0.004699999999999999,2019-06-17 00:00:00.000000,0.035699999999999996,2019-06-18 10:23:40.117171,,25.0,,1.23,12.79,24700000.0,0.1461,0.04,EWS,575754470.0,0.0408,,,,https://www.ishares.com/us/products/239678/ishares-msci-singapore-capped-etf
58,Multi Asset,0.31,0.0060999999999999995,2019-06-17 00:00:00.000000,0.025099999999999997,2019-06-18 10:23:44.925578,,10.0,,,,12900000.0,0.0548,0.054000000000000006,IYLD,318142724.0,0.051500000000000004,,,,https://www.ishares.com/us/products/239585/ishares-morningstar-multiasset-income-etf
59,Fixed Income,,0.0018,2019-06-17 00:00:00.000000,0.016399999999999998,2019-06-18 10:23:46.846173,,965.0,,,,6750000.0,,0.0132,IBML,172963015.0,0.0172,0.048799999999999996,4.03,0.0144,https://www.ishares.com/us/products/287194/ishares-ibonds-dec-2023-term-muni-bond-etf-fund
60,Equity,1.0,0.0004,2019-06-17 00:00:00.000000,0.0194,2019-06-18 10:23:53.368404,,505.0,,3.24,20.42,614200000.0,0.11689999999999999,0.019799999999999998,IVV,177901610258.0,0.0197,,,,https://www.ishares.com/us/products/239726/ishares-core-sp-500-etf
61,Equity,1.28,0.0025,2019-06-17 00:00:00.000000,0.019299999999999998,2019-06-18 10:23:59.439628,,460.0,,1.43,15.49,41250000.0,0.1816,0.0179,IJS,5927171450.0,0.0169,,,,https://www.ishares.com/us/products/239775/ishares-sp-smallcap-600-value-etf
62,Equity,0.99,0.0015,2019-06-17 00:00:00.000000,0.0195,2019-06-18 10:24:02.405761,,125.0,,5.2,20.11,119900000.0,0.1183,0.0177,QUAL,10781374883.0,0.0176,,,,https://www.ishares.com/us/products/256101/ishares-msci-usa-quality-factor-etf
63,Real Estate,0.61,0.0043,2019-06-17 00:00:00.000000,0.0282,2019-06-18 10:24:08.427426,,114.0,,2.58,,49500000.0,0.1273,0.027999999999999997,IYR,4454907743.0,0.030299999999999997,,,,https://www.ishares.com/us/products/239520/ishares-us-real-estate-etf
64,Multi Asset,0.35,0.0032,2019-06-17 00:00:00.000000,0.022799999999999997,2019-06-18 10:24:15.429286,,7.0,,,,27550000.0,0.04769999999999999,0.0269,AOM,1060049958.0,0.0252,,,,https://www.ishares.com/us/products/239765/ishares-moderate-allocation-etf
65,Equity,,0.003,2019-06-17 00:00:00.000000,0.0,2019-06-18 10:24:16.808587,,641.0,,,,800000.0,,0.0195,DYNF,20570462.0,,,,,https://www.ishares.com/us/products/307283/blackrock-us-equity-factor-rotation-etf
66,Fixed Income,-0.04,0.0006,2019-06-17 00:00:00.000000,0.026099999999999998,2019-06-18 10:24:23.972438,5.32,7410.0,47.0,,,571700000.0,0.0311,0.026099999999999998,AGG,63176354147.0,0.027200000000000002,0.0332,7.76,0.0262,https://www.ishares.com/us/products/239458/ishares-core-total-us-bond-market-etf
67,Equity,,0.0018,2019-06-17 00:00:00.000000,0.0147,2019-06-18 10:24:25.594937,,211.0,,,,200000.0,,0.0137,IEDI,5752696.0,0.0173,,,0.0001,https://www.ishares.com/us/products/292414/
68,Equity,,0.0018,2019-06-17 00:00:00.000000,0.02,2019-06-18 10:24:27.148988,,214.0,,,,200000.0,,0.015300000000000001,IEIH,5017224.0,0.0149,,,0.0001,https://www.ishares.com/us/products/292423/ishares-evolved-u-s-innovative-healthcare-etf-fund
